registro_uid,ano,data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,pdf_ordem,pdf_tipo,url,arquivo,baixado_json,pdf_uid,group_key,sample_score
2021_00088,2021,2021-12-24,ATS - AVISO DE TOMADA DE SUBSÍDIOS 022,ATS,AVISO DE TOMADA DE SUBSÍDIOS,022,SMA/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aviso,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/ats2021022ti.pdf,ats2021022ti.pdf,True,2021_00088__1,ATS | Texto Integral,
2021_02148,2021,2021-09-16,COM - COMUNICADO 019/2021,COM,COMUNICADO,019/2021,SCG/ANEEL,TORNADA SEM EFEITO,0,Comunicação,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/com2021019scg.pdf,com2021019scg.pdf,True,2021_02148__1,COM | Texto Integral,
2021_02208,2021,2021-09-15,DSP - DESPACHO 2847/2021,DSP,DESPACHO,2847/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Juízo de reconsideração,PREENCHIDA,2,Decisão,http://www2.aneel.gov.br/cedoc/adsp20212847.pdf,adsp20212847.pdf,True,2021_02208__2,,
2021_02209,2021,2021-09-15,DSP - DESPACHO 2848/2021,DSP,DESPACHO,2848/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Negação,PREENCHIDA,2,Decisão,http://www2.aneel.gov.br/cedoc/adsp20212848.pdf,adsp20212848.pdf,True,2021_02209__2,DSP | Decisão,
2021_00592,2021,2021-12-06,DSP - DESPACHO 3829/2021,DSP,DESPACHO,3829/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Despacho de Registro da Adequabilidade do Sumário Executivo,PREENCHIDA,2,Nota Técnica,https://www2.aneel.gov.br/cedoc/ndsp20213829.pdf,ndsp20213829.pdf,True,2021_00592__2,,
2021_05837,2021,2021-03-17,DSP - DESPACHO 673/2021,DSP,DESPACHO,673/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Revogação,PREENCHIDA,2,Nota Técnica,http://www2.aneel.gov.br/cedoc/ndsp2021673.pdf,ndsp2021673.pdf,True,2021_05837__2,DSP | Nota Técnica,
2021_00665,2021,2021-12-01,DSP - DESPACHO 3814/2021,DSP,DESPACHO,3814/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/dsp20213814ti.pdf,dsp20213814ti.pdf,True,2021_00665__1,,
2021_00141,2021,2021-12-23,DSP - DESPACHO 4088/2021,DSP,DESPACHO,4088/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/dsp20214088ti.pdf,dsp20214088ti.pdf,True,2021_00141__1,,
2021_01421,2021,2021-10-18,DSP - DESPACHO 3260/2021,DSP,DESPACHO,3260/2021,SCT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Antecipação,NULL,1,Texto Integral,https://www2.aneel.gov.br/cedoc/dsp20213260ti.pdf,dsp20213260ti.pdf,True,2021_01421__1,,1.3002205558006177
2021_06945,2021,2021-01-11,DSP - DESPACHO 024/2021,DSP,DESPACHO,024/2021,SCG/ANEEL,REVOGADA,1,Controle Inteligência de Negócios Ltda,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp2021024ti.pdf,dsp2021024ti.pdf,True,2021_06945__1,,1.4002205558006176
2021_03001,2021,2021-08-10,DSP - DESPACHO 2390/2021,DSP,DESPACHO,2390/2021,SCG/ANEEL,REVOGADA,1,EBDE Energia S.A,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20212390ti.pdf,dsp20212390ti.pdf,True,2021_03001__1,,1.4002205558006176
2021_01765,2021,2021-10-04,DSP - DESPACHO 3065/2021,DSP,DESPACHO,3065/2021,SCG/ANEEL,REVOGADA,1,Enebras Participações S.A,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/dsp20213065ti.pdf,dsp20213065ti.pdf,True,2021_01765__1,,1.4002205558006176
2021_03342,2021,2021-07-15,DSP - DESPACHO 2126/2021,DSP,DESPACHO,2126/2021,SCG/ANEEL,REVOGADA,1,Estudo de Inventário Hidrelétrico,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/dsp20212126ti.pdf,dsp20212126ti.pdf,True,2021_03342__1,,1.4002205558006176
2021_05769,2021,2021-03-22,DSP - DESPACHO 766/2021,DSP,DESPACHO,766/2021,SCG/ANEEL,REVOGADA,1,Execução,NULL,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp2021766.pdf,dsp2021766.pdf,True,2021_05769__1,,1.2002205558006174
2021_01244,2021,2021-10-26,DSP - DESPACHO 3376/2021,DSP,DESPACHO,3376/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Invalidação,NULL,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20213376ti.pdf,dsp20213376ti.pdf,True,2021_01244__1,,1.3002205558006177
2021_00545,2021,2021-12-09,DSP - DESPACHO 3936/2021,DSP,DESPACHO,3936/2021,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20213936ti.pdf,dsp20213936ti.pdf,True,2021_00545__1,,
2021_01689,2021,2021-10-06,DSP - DESPACHO 3110/2021,DSP,DESPACHO,3110/2021,SCG/ANEEL,REVOGADA,1,RG Energia S.A,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/dsp20213110ti.pdf,dsp20213110ti.pdf,True,2021_01689__1,,1.4002205558006176
2021_06377,2021,2021-02-12,DSP - DESPACHO 393/2021,DSP,DESPACHO,393/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Registro,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp2021393ti.pdf,dsp2021393ti.pdf,True,2021_06377__1,,
2021_06267,2021,2021-02-22,DSP - DESPACHO 282/2021,DSP,DESPACHO,282/2021,SCG/ANEEL,REVOGADA,1,Registro,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp2021282.pdf,dsp2021282.pdf,True,2021_06267__1,DSP | Texto Integral,
2021_02773,2021,2021-08-23,DSP - DESPACHO 2549/2021,DSP,DESPACHO,2549/2021,SCG/ANEEL,REVOGADA,1,Rialma Administração e Participações S.A,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/dsp20212549ti.pdf,dsp20212549ti.pdf,True,2021_02773__1,,1.4002205558006176
2021_01727,2021,2021-10-05,DSP - DESPACHO 3079/2021,DSP,DESPACHO,3079/2021,SCG/ANEEL,REVOGADA,1,SPOT Comercializadora de Energia Ltda,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/dsp20213079ti.pdf,dsp20213079ti.pdf,True,2021_01727__1,,
2021_01797,2021,2021-10-01,DSP - DESPACHO 3018/2021,DSP,DESPACHO,3018/2021,SCG/ANEEL,REVOGADA,1,Universal Comercializadora de Energia Elétrica Ltda,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20213018ti.pdf,dsp20213018ti.pdf,True,2021_01797__1,,1.4002205558006176
2021_00726,2021,2021-11-26,DSP - DESPACHO 3763/2021,DSP,DESPACHO,3763/2021,SCG/ANEEL,REVOGADA,1,Vaccaro Construtora Ltda,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/dsp20213763ti.pdf,dsp20213763ti.pdf,True,2021_00726__1,,1.4002205558006176
2021_04979,2021,2021-05-04,DSP - DESPACHO 1182/2021,DSP,DESPACHO,1182/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,2,Voto,http://www2.aneel.gov.br/cedoc/adsp20211182_1.pdf,adsp20211182_1.pdf,True,2021_04979__2,,
2021_02166,2021,2021-09-16,ECT - EXTRATO DE CONTRATO 020/2021,ECT,EXTRATO DE CONTRATO,020/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/ect2021020_1.pdf,ect2021020_1.pdf,True,2021_02166__1,,
2021_02438,2021,2021-09-06,ECT - EXTRATO DE CONTRATO 015/2021,ECT,EXTRATO DE CONTRATO,015/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Extrato,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/ect2021015_1.pdf,ect2021015_1.pdf,True,2021_02438__1,ECT | Texto Integral,
2021_01344,2021,2021-10-21,PRI - PORTARIA INTERMINISTERIAL 003/2021,PRI,PORTARIA INTERMINISTERIAL,003/2021,ME/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral,https://www2.aneel.gov.br/cedoc/pri2021003.pdf,pri2021003.pdf,True,2021_01344__1,,1.002433090024331
2021_00128,2021,2021-12-24,PRT - PORTARIA 6712/2021,PRT,PORTARIA,6712/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,NULL,2,Anexo,https://www2.aneel.gov.br/cedoc/aprt20216712_2.pdf,aprt20216712_2.pdf,True,2021_00128__2,PRT | Anexo,
2021_03525,2021,2021-07-06,PRT - PORTARIA 6678/2021,PRT,PORTARIA,6678/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,NULL,1,Texto Integral,http://www2.aneel.gov.br/cedoc/prt20216678.pdf,prt20216678.pdf,True,2021_03525__1,,
2021_06797,2021,2021-01-22,PRT - PORTARIA 003/2021,PRT,PORTARIA,003/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Anuência,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/prt2021003.pdf,prt2021003.pdf,True,2021_06797__1,,
2021_06359,2021,2021-02-17,PRT - PORTARIA 546/2021,PRT,PORTARIA,546/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/prt2021546tispde.pdf,prt2021546tispde.pdf,True,2021_06359__1,,
2021_00518,2021,2021-12-10,PRT - PORTARIA 6707/2021,PRT,PORTARIA,6707/2021,SAF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Convalidação,NULL,1,Texto Integral,https://www2.aneel.gov.br/cedoc/prt20216707.pdf,prt20216707.pdf,True,2021_00518__1,,1.30078125
2021_04827,2021,2021-05-12,PRT - PORTARIA 655/2021,PRT,PORTARIA,655/2021,SPE/MME,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/prt2021655spde.pdf,prt2021655spde.pdf,True,2021_04827__1,PRT | Texto Integral,
