registro_uid,ano,data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,pdf_ordem,pdf_tipo,url,arquivo,baixado_json,cat_key,is_first_of_kind,score_prioridade,status_processamento,tentativas,mensagem_erro
2021_00028_pdf2,2021,2021-12-31,DSP - DESPACHO 4188/2021,DSP,DESPACHO,4188/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,2,Decisão,https://www2.aneel.gov.br/cedoc/adsp20214188.pdf,adsp20214188.pdf,True,DSPDecisãoFixação,True,701.0,baixado_local,0,
2021_02656_pdf1,2021,2021-08-27,REA - RESOLUÇÃO AUTORIZATIVA 10422/2021,REA,RESOLUÇÃO AUTORIZATIVA,10422/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Registro,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/rea202110422ti.pdf,rea202110422ti.pdf,True,REATexto IntegralRegistro,True,701.0,baixado_local,0,
2021_02656_pdf2,2021,2021-08-27,REA - RESOLUÇÃO AUTORIZATIVA 10422/2021,REA,RESOLUÇÃO AUTORIZATIVA,10422/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Registro,PREENCHIDA,2,Voto,http://www2.aneel.gov.br/cedoc/area202110422_1.pdf,area202110422_1.pdf,True,REAVotoRegistro,True,701.0,baixado_local,0,
2021_02768_pdf2,2021,2021-08-23,DSP - DESPACHO 2524/2021,DSP,DESPACHO,2524/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,2,Nota Técnica,http://www2.aneel.gov.br/cedoc/ndsp20212524.pdf,ndsp20212524.pdf,True,DSPNota TécnicaAlteração,True,701.0,baixado_local,0,
2021_04825_pdf2,2021,2021-05-12,DSP - DESPACHO 1328/2021,DSP,DESPACHO,1328/2021,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,2,Nota Técnica,http://www2.aneel.gov.br/cedoc/ndsp20211328.pdf,ndsp20211328.pdf,True,DSPNota TécnicaLiberação,True,701.0,baixado_local,0,
2016_00002_pdf1,2016,2016-12-30,DSP - DESPACHO 3386/2016,DSP,DESPACHO,3386/2016,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Registro,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20163386ti.pdf,dsp20163386ti.pdf,True,DSPTexto IntegralRegistro,True,696.0,baixado_local,0,
2016_00002_pdf2,2016,2016-12-30,DSP - DESPACHO 3386/2016,DSP,DESPACHO,3386/2016,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Registro,PREENCHIDA,2,Nota Técnica,http://www2.aneel.gov.br/cedoc/ndsp20163386.pdf,ndsp20163386.pdf,True,DSPNota TécnicaRegistro,True,696.0,baixado_local,0,
2016_00008_pdf1,2016,2016-12-30,DSP - DESPACHO 3409/2016,DSP,DESPACHO,3409/2016,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20163409ti.pdf,dsp20163409ti.pdf,True,DSPTexto IntegralFixação,True,696.0,baixado_local,0,
2016_00010_pdf1,2016,2016-12-30,DSP - DESPACHO 3411/2016,DSP,DESPACHO,3411/2016,SFF/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20163411.pdf,dsp20163411.pdf,True,DSPTexto IntegralAprovação,True,696.0,baixado_local,0,
2016_00012_pdf1,2016,2016-12-30,DSP - DESPACHO 3416/2016,DSP,DESPACHO,3416/2016,SFG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Liberação,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20163416ti.pdf,dsp20163416ti.pdf,True,DSPTexto IntegralLiberação,True,696.0,baixado_local,0,
