data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,qtd_pdfs,tipos_pdf_concat
2021-12-31,DSP - DESPACHO 4137/2021,DSP,DESPACHO,4137/2021,SCT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,NULL,1,Texto Integral
2021-12-31,DSP - DESPACHO 4138/2021,DSP,DESPACHO,4138/2021,SCT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Autorização,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4140/2021,DSP,DESPACHO,4140/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4141/2021,DSP,DESPACHO,4141/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4142/2021,DSP,DESPACHO,4142/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4143/2021,DSP,DESPACHO,4143/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4144/2021,DSP,DESPACHO,4144/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4145/2021,DSP,DESPACHO,4145/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4146/2021,DSP,DESPACHO,4146/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4147/2021,DSP,DESPACHO,4147/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4148/2021,DSP,DESPACHO,4148/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4149/2021,DSP,DESPACHO,4149/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4150/2021,DSP,DESPACHO,4150/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4151/2021,DSP,DESPACHO,4151/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4152/2021,DSP,DESPACHO,4152/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4153/2021,DSP,DESPACHO,4153/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4154/2021,DSP,DESPACHO,4154/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4155/2021,DSP,DESPACHO,4155/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4156/2021,DSP,DESPACHO,4156/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4158/2021,DSP,DESPACHO,4158/2021,SCT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4181/2021,DSP,DESPACHO,4181/2021,SGT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4182/2021,DSP,DESPACHO,4182/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Prorrogação de prazo,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4183/2021,DSP,DESPACHO,4183/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4184/2021,DSP,DESPACHO,4184/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Despacho de Registro do Requerimento de Outorga,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4185/2021,DSP,DESPACHO,4185/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Renovação,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4186/2021,DSP,DESPACHO,4186/2021,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Despacho de Registro do Requerimento de Outorga,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4187/2021,DSP,DESPACHO,4187/2021,SRG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Juízo de mérito,PREENCHIDA,1,Texto Integral
2021-12-31,DSP - DESPACHO 4188/2021,DSP,DESPACHO,4188/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,2,Texto Integral | Decisão
