registro_uid,ano,data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,pdf_ordem,pdf_tipo,url,arquivo,baixado_json,pdf_uid,group_key,sample_score
2016_02126,2016,2016-06-30,ACP - AVISO DE CONSULTA PÚBLICA 005,ACP,AVISO DE CONSULTA PÚBLICA,005,SMA/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aviso,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/acp2016005ti.pdf,acp2016005ti.pdf,True,2016_02126__1,ACP | Texto Integral,
2016_02668,2016,2016-05-10,DSP - DESPACHO 1115/2016,DSP,DESPACHO,1115/2016,ANEEL,TORNADA SEM EFEITO,0,Efeito suspensivo,PREENCHIDA,2,Decisão,http://www2.aneel.gov.br/cedoc/adsp20161115.pdf,adsp20161115.pdf,True,2016_02668__2,,
2016_02669,2016,2016-05-10,DSP - DESPACHO 1116/2016,DSP,DESPACHO,1116/2016,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Negação,PREENCHIDA,2,Decisão,http://www2.aneel.gov.br/cedoc/adsp20161116.pdf,adsp20161116.pdf,True,2016_02669__2,DSP | Decisão,
2016_03426,2016,2016-03-14,DSP - DESPACHO 585/2016,DSP,DESPACHO,585/2016,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Conhecimento,PREENCHIDA,3,Nota Técnica,http://www2.aneel.gov.br/cedoc/ndsp2016585.rar,ndsp2016585.rar,True,2016_03426__3,DSP | Nota Técnica,
2016_03175,2016,2016-03-30,DSP - DESPACHO 741/2016,DSP,DESPACHO,741/2016,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Registro,PREENCHIDA,2,Nota Técnica,http://www2.aneel.gov.br/cedoc/ndsp2016741.pdf,ndsp2016741.pdf,True,2016_03175__2,,
2016_03898,2016,2016-02-10,DSP - DESPACHO 327/2016,DSP,DESPACHO,327/2016,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Registro,PREENCHIDA,2,Nota Técnica,http://www2.aneel.gov.br/cedoc/ndsp2016327.pdf,ndsp2016327.pdf,True,2016_03898__2,,
2016_00314,2016,2016-12-13,DSP - DESPACHO 3034/2016,DSP,DESPACHO,3034/2016,SCG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20163034ti.pdf,dsp20163034ti.pdf,True,2016_00314__1,DSP | Texto Integral,
2016_00703,2016,2016-11-08,DSP - DESPACHO 2917/2016,DSP,DESPACHO,2917/2016,SCT/ANEEL,REVOGADA,1,Atualização,NULL,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20162917ti.pdf,dsp20162917ti.pdf,True,2016_00703__1,,1.7002831257078141
2016_03984,2016,2016-02-01,DSP - DESPACHO 234/2016,DSP,DESPACHO,234/2016,SCG/ANEEL,REVOGADA,1,Congresso,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp2016234ti.pdf,dsp2016234ti.pdf,True,2016_03984__1,,1.4002831257078143
2016_01876,2016,2016-07-28,DSP - DESPACHO 1950/2016,DSP,DESPACHO,1950/2016,SCG/ANEEL,REVOGADA,1,Enebras Projetos de Usinas Hidrelétricas Ltda,PREENCHIDA,1,Texto Integral,http://www2.aneel.gov.br/cedoc/dsp20161950ti.pdf,dsp20161950ti.pdf,True,2016_01876__1,,1.4002831257078143
