registro_uid,ano,data_chave,titulo,sigla_titulo,tipo_ato_titulo,numero_titulo,autor,situacao_normalizada,revogada_flag,assunto_normalizado,ementa_status,pdf_ordem,pdf_tipo
2016_03426_pdf3,2016,2016-03-14,DSP - DESPACHO 585/2016,DSP,DESPACHO,585/2016,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Conhecimento,PREENCHIDA,3,Nota Técnica
2022_00341_pdf3,2022,2022-12-08,DSP - DESPACHO 3424/2022,DSP,DESPACHO,3424/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,,3,Anexos
2022_01751_pdf2,2022,2022-10-05,DSP - DESPACHO 2852/2022,DSP,DESPACHO,2852/2022,SRT/SRG/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,2,Anexos - Submódulos
2022_02924_pdf4,2022,2022-08-17,REH - RESOLUÇÃO HOMOLOGATÓRIA 3095/2022,REH,RESOLUÇÃO HOMOLOGATÓRIA,3095/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,4,Simulador de Tarifas
2022_03018_pdf2,2022,2022-08-12,DSP - DESPACHO 1772/2022,DSP,DESPACHO,1772/2022,SRT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,2,Anexos-Submódulos
2022_03614_pdf4,2022,2022-07-14,REH - RESOLUÇÃO HOMOLOGATÓRIA 3066/2022,REH,RESOLUÇÃO HOMOLOGATÓRIA,3066/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,4,Base de Dados
2022_03614_pdf5,2022,2022-07-14,REH - RESOLUÇÃO HOMOLOGATÓRIA 3066/2022,REH,RESOLUÇÃO HOMOLOGATÓRIA,3066/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,5,Programa Nodal
2022_03838_pdf3,2022,2022-07-04,REH - RESOLUÇÃO HOMOLOGATÓRIA 3104/2022,REH,RESOLUÇÃO HOMOLOGATÓRIA,3104/2022,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,3,Planilhas de Cálculo
2022_07328_pdf3,2022,2022-01-13,DSP - DESPACHO 060/2022,DSP,DESPACHO,060/2022,SGT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,3,Anexo
2021_01589_pdf3,2021,2021-10-13,REH - RESOLUÇÃO HOMOLOGATÓRIA 2959/2021,REH,RESOLUÇÃO HOMOLOGATÓRIA,2959/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Alteração,PREENCHIDA,3,Anexos
2021_02742_pdf3,2021,2021-08-25,REH - RESOLUÇÃO HOMOLOGATÓRIA 2926/2021,REH,RESOLUÇÃO HOMOLOGATÓRIA,2926/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,3,Base de daos
2021_03094_pdf3,2021,2021-07-29,DSP - DESPACHO 2278/2021,DSP,DESPACHO,2278/2021,SGT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,3,Memória de Cálculo
2021_03240_pdf4,2021,2021-07-22,REH - RESOLUÇÃO HOMOLOGATÓRIA 2902/2021,REH,RESOLUÇÃO HOMOLOGATÓRIA,2902/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Homologação,,4,Memória de Cálculo
2021_03297_pdf3,2021,2021-07-19,REH - RESOLUÇÃO HOMOLOGATÓRIA 2894/2021,REH,RESOLUÇÃO HOMOLOGATÓRIA,2894/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Fixação,PREENCHIDA,3,Anexo - Base de Dados da TUSDg
2021_04576_pdf3,2021,2021-05-26,REH - RESOLUÇÃO HOMOLOGATÓRIA 2875/2021,REH,RESOLUÇÃO HOMOLOGATÓRIA,2875/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,3,Base de Dados A-4 e A-5
2021_04716_pdf4,2021,2021-05-19,REH - RESOLUÇÃO HOMOLOGATÓRIA 2869/2021,REH,RESOLUÇÃO HOMOLOGATÓRIA,2869/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,4,Base de Dados – Base A-3_2021
2021_04716_pdf5,2021,2021-05-19,REH - RESOLUÇÃO HOMOLOGATÓRIA 2869/2021,REH,RESOLUÇÃO HOMOLOGATÓRIA,2869/2021,ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Aprovação,PREENCHIDA,5,Base de Dados – Base A-4_2021
2021_05486_pdf3,2021,2021-04-06,DSP - DESPACHO 939/2021,DSP,DESPACHO,939/2021,SGT/ANEEL,NÃO CONSTA REVOGAÇÃO EXPRESSA,0,Homologação,PREENCHIDA,3,Memória de cálculo - Encargo Conta Covid.
